campus,program_id,program_name,place_type,filename,url
Москва,36635016240,Продюсер в музыкальной индустрии,Commercial,36635016240_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36635016240_Commercial.xlsx
Москва,36635019313,Продюсер театра и исполнительских искусств,Commercial,36635019313_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36635019313_Commercial.xlsx
Москва,36985942928,Пространственные данные и прикладная геоаналитика,Budget,36985942928_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36985942928_Budget.xlsx
Москва,36985942928,Пространственные данные и прикладная геоаналитика,Commercial,36985942928_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36985942928_Commercial.xlsx
Москва,36634208277,Психоанализ и психоаналитическая психотерапия,Commercial,36634208277_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634208277_Commercial.xlsx
Москва,36634208641,Психоанализ и психоаналитическое бизнес-консультирование,Commercial,36634208641_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634208641_Commercial.xlsx
Москва,36634209205,Психология в бизнесе,Commercial,36634209205_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634209205_Commercial.xlsx
Москва,36634766800,Публичное право,Budget,36634766800_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634766800_Budget.xlsx
Москва,36634766800,Публичное право,Commercial,36634766800_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634766800_Commercial.xlsx
Москва,36962612385,Религиозная дипломатия в многополярном мире,Budget,36962612385_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36962612385_Budget.xlsx
Москва,36962612385,Религиозная дипломатия в многополярном мире,Commercial,36962612385_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36962612385_Commercial.xlsx
Москва,36635111472,Русский язык как иностранный,Budget,36635111472_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36635111472_Budget.xlsx
